LOCATION,TIME,Value
Canada,01-03-2020,7.9
Canada,01-04-2020,13.1
Canada,01-05-2020,13.7
Canada,01-06-2020,12.5
Canada,01-07-2020,10.9
Canada,01-08-2020,10.2
Canada,01-09-2020,9.2
Canada,01-10-2020,9
Canada,01-11-2020,8.6
Canada,01-12-2020,8.8
Canada,01-01-2021,9.4
Canada,01-02-2021,8.2
Canada,01-03-2021,7.5
Canada,01-04-2021,8.1
Canada,01-05-2021,8.2
Canada,01-06-2021,7.8
Canada,01-07-2021,7.5
Canada,01-08-2021,7.1
France,01-03-2020,7.5
France,01-04-2020,7.5
France,01-05-2020,7.1
France,01-06-2020,7.5
France,01-07-2020,8.7
France,01-08-2020,9
France,01-09-2020,9
France,01-10-2020,8.3
France,01-11-2020,8
France,01-12-2020,7.8
France,01-01-2021,7.9
France,01-02-2021,8.1
France,01-03-2021,8.1
France,01-04-2021,8.3
France,01-05-2021,8.3
France,01-06-2021,8.1
France,01-07-2021,8
France,01-08-2021,7.9
Germany,01-03-2020,3.6
Germany,01-04-2020,3.7
Germany,01-05-2020,3.8
Germany,01-06-2020,3.9
Germany,01-07-2020,4
Germany,01-08-2020,4.1
Germany,01-09-2020,4.1
Germany,01-10-2020,4.1
Germany,01-11-2020,4.1
Germany,01-12-2020,4
Germany,01-01-2021,3.9
Germany,01-02-2021,3.9
Germany,01-03-2021,3.8
Germany,01-04-2021,3.7
Germany,01-05-2021,3.6
Germany,01-06-2021,3.5
Germany,01-07-2021,3.4
Germany,01-08-2021,3.4
Italy,01-03-2020,7.3
Italy,01-04-2020,7.4
Italy,01-05-2020,8.5
Italy,01-06-2020,9.5
Italy,01-07-2020,10.1
Italy,01-08-2020,10
Italy,01-09-2020,10.1
Italy,01-10-2020,10
Italy,01-11-2020,9.6
Italy,01-12-2020,9.8
Italy,01-01-2021,10.2
Italy,01-02-2021,10.1
Italy,01-03-2021,10
Italy,01-04-2021,10.1
Italy,01-05-2021,9.9
Italy,01-06-2021,9.4
Italy,01-07-2021,9.2
Italy,01-08-2021,9.3
Japan,01-03-2020,2.5
Japan,01-04-2020,2.6
Japan,01-05-2020,2.8
Japan,01-06-2020,2.8
Japan,01-07-2020,2.9
Japan,01-08-2020,3
Japan,01-09-2020,3
Japan,01-10-2020,3.1
Japan,01-11-2020,3
Japan,01-12-2020,3
Japan,01-01-2021,2.9
Japan,01-02-2021,2.9
Japan,01-03-2021,2.6
Japan,01-04-2021,2.8
Japan,01-05-2021,3
Japan,01-06-2021,2.9
Japan,01-07-2021,2.8
Japan,01-08-2021,2.8
United Kingdom,01-03-2020,4.04138
United Kingdom,01-04-2020,4.14699
United Kingdom,01-05-2020,4.137189
United Kingdom,01-06-2020,4.318904
United Kingdom,01-07-2020,4.538391
United Kingdom,01-08-2020,4.84807
United Kingdom,01-09-2020,5.049924
United Kingdom,01-10-2020,5.10721
United Kingdom,01-11-2020,5.219832
United Kingdom,01-12-2020,5.134026
United Kingdom,01-01-2021,5.034872
United Kingdom,01-02-2021,4.885616
United Kingdom,01-03-2021,4.840756
United Kingdom,01-04-2021,4.839443
United Kingdom,01-05-2021,4.723915
United Kingdom,01-06-2021,4.572463
United Kingdom,01-07-2021,4.451372
United Kingdom,01-08-2021,4.263134
United States,01-03-2020,4.4
United States,01-04-2020,14.7
United States,01-05-2020,13.2
United States,01-06-2020,11
United States,01-07-2020,10.2
United States,01-08-2020,8.4
United States,01-09-2020,7.9
United States,01-10-2020,6.9
United States,01-11-2020,6.7
United States,01-12-2020,6.7
United States,01-01-2021,6.4
United States,01-02-2021,6.2
United States,01-03-2021,6
United States,01-04-2021,6
United States,01-05-2021,5.8
United States,01-06-2021,5.9
United States,01-07-2021,5.4
United States,01-08-2021,5.2
